Ar (SLM),N2 (SLM),H2 (SLM),Mean Particle Temperature (°C),Mean Particle Velocity (m/s),enthalpy,BP(°C),PS,MP,SPC
128.0,56.0,16.0,2447.5,387.2,9.7,100.0,0.45,2700,0.625
98.0,86.0,16.0,2506.8,379.9,12.0,100.0,0.45,2700,0.625
108.0,56.0,36.0,2546.0,383.2,9.8,100.0,0.45,2700,0.625
78.0,86.0,36.0,2517.6,379.8,7.8,100.0,0.45,2700,0.625
118.0,26.0,56.0,2481.8,340.1,6.9,100.0,0.45,2700,0.625
88.0,56.0,56.0,2640.4,400.9,10.9,100.0,0.45,2700,0.625
58.0,86.0,56.0,2661.8,353.4,13.4,100.0,0.45,2700,0.625
160.0,70.0,20.0,2550.7,499.1,10.2,100.0,0.45,2700,0.625
122.5,107.5,20.0,2649.3,515.0,12.9,100.0,0.45,2700,0.625
172.5,32.5,45.0,2532.3,461.6,7.3,100.0,0.45,2700,0.625
135.0,70.0,45.0,2668.6,515.9,11.0,100.0,0.45,2700,0.625
97.5,107.5,45.0,2646.9,491.5,8.8,100.0,0.45,2700,0.625
147.5,32.5,70.0,2618.9,427.8,8.6,100.0,0.45,2700,0.625
110.0,70.0,70.0,2723.0,525.0,12.1,100.0,0.45,2700,0.625
72.5,107.5,70.0,2740.9,458.2,14.3,100.0,0.45,2700,0.625
192.0,84.0,24.0,2597.6,584.8,10.0,100.0,0.45,2700,0.625
147.0,129.0,24.0,2689.8,593.6,12.1,100.0,0.45,2700,0.625
207.0,39.0,54.0,2613.2,562.7,8.6,100.0,0.45,2700,0.625
162.0,84.0,54.0,2710.6,610.4,10.9,100.0,0.45,2700,0.625
117.0,129.0,54.0,2709.1,603.5,9.9,100.0,0.45,2700,0.625
177.0,39.0,84.0,2694.0,548.2,9.4,100.0,0.45,2700,0.625
132.0,84.0,84.0,2750.6,602.6,12.0,100.0,0.45,2700,0.625
87.0,129.0,84.0,2779.5,577.1,13.8,100.0,0.45,2700,0.625
89.9303,129.0,84.0,2876.723,635.6511,13.6,100.0,0.45,2700,0.625
97.7548,129.0,84.0,2893.317,674.8248,13.8,100.0,0.45,2700,0.625
90.2375,129.0,84.0,2870.838,608.7828,13.5,100.0,0.45,2700,0.625
58.6155,106.9723,55.6863,2793.311,458.4578,13.7,100.0,0.45,2700,0.625
59.289,109.7181,58.871,2799.737,463.514,14.5,100.0,0.45,2700,0.625
58.4886,109.9901,62.0375,2817.403,485.1295,15.5,100.0,0.45,2700,0.625
58.0,115.4293,62.76,2820.282,473.346,14.8,100.0,0.45,2700,0.625
75.44394,105.1186,68.7752,2839.916,513.261,14.0,100.0,0.45,2700,0.625
58.2174,113.2305,58.5128,2834.922,487.2549,14.5,100.0,0.45,2700,0.625
58.0,112.8902,59.2804,2803.935,461.7628,14.5,100.0,0.45,2700,0.625
59.3094,112.8094,59.4408,2796.225,485.2844,14.3,100.0,0.45,2700,0.625
58.3167,111.3967,59.1127,2780.698,482.5061,13.8,100.0,0.45,2700,0.625
58.0,112.1503,58.9852,2791.747,475.8769,14.2,100.0,0.45,2700,0.625
58.5346,115.9724,60.245,2782.693,481.7274,14.5,100.0,0.45,2700,0.625
58.0,116.1097,61.3591,2790.014,472.7325,14.6,100.0,0.45,2700,0.625
158.0,26.0,16.0,2661.278136,340.5808475,7.0,78.37,0.45,2700,0.625
128.0,56.0,16.0,2828.845932,407.6940678,11.1,78.37,0.45,2700,0.625
98.0,86.0,16.0,2863.24,438.5430508,14.0,78.37,0.45,2700,0.625
138.0,26.0,36.0,2734.794068,352.3508475,8.5,78.37,0.45,2700,0.625
108.0,56.0,36.0,2821.636034,387.3062069,11.6,78.37,0.45,2700,0.625
78.0,86.0,36.0,2845.999153,428.3991525,14.4,78.37,0.45,2700,0.625
118.0,26.0,56.0,2740.116271,326.72,8.7,78.37,0.45,2700,0.625
88.0,56.0,56.0,2809.268644,368.0562712,12.0,78.37,0.45,2700,0.625
58.0,86.0,56.0,2860.111724,396.1534483,15.6,78.37,0.45,2700,0.625
197.5,32.5,20.0,2747.245932,445.9413559,8.5,78.37,0.45,2700,0.625
160.0,70.0,20.0,2879.105593,533.9066102,11.8,78.37,0.45,2700,0.625
122.5,107.5,20.0,2916.911724,563.6687931,13.7,78.37,0.45,2700,0.625
172.5,32.5,45.0,2837.09,498.1831034,10.0,78.37,0.45,2700,0.625
135.0,70.0,45.0,2890.883051,536.1371186,12.0,78.37,0.45,2700,0.625
97.5,107.5,45.0,2923.759322,550.4508475,15.0,78.37,0.45,2700,0.625
147.5,32.5,70.0,2855.096441,490.7291525,10.7,78.37,0.45,2700,0.625
110.0,70.0,70.0,2876.072542,489.2830508,13.0,78.37,0.45,2700,0.625
72.5,107.5,70.0,2924.358793,519.0794828,15.2,78.37,0.45,2700,0.625
237.0,39.0,24.0,2851.179153,634.8664407,8.8,78.37,0.45,2700,0.625
192.0,84.0,24.0,2906.527627,669.6861017,10.8,78.37,0.45,2700,0.625
147.0,129.0,24.0,2938.535345,658.6058621,13.0,78.37,0.45,2700,0.625
207.0,39.0,54.0,2864.796441,619.0377966,9.5,78.37,0.45,2700,0.625
162.0,84.0,54.0,2919.674407,649.6147458,11.8,78.37,0.45,2700,0.625
117.0,129.0,54.0,2983.194068,649.96,14.2,78.37,0.45,2700,0.625
177.0,39.0,84.0,2883.248475,598.0345763,10.7,78.37,0.45,2700,0.625
132.0,84.0,84.0,2950.627458,600.0077966,12.5,78.37,0.45,2700,0.625
87.0,129.0,84.0,3000.371525,628.1910169,14.5,78.37,0.45,2700,0.625
178.67,85.96,83.94,2986.063,708.7146,11.0,78.37,0.45,2700,0.625
118.9,97.99,84.0,2991.924,643.311,12.5,78.37,0.45,2700,0.625
139.58,109.26,31.171,2991.405,579.9,12.4,78.37,0.45,2700,0.625
138.878,109.638,35.183,2979.247,628.8959,12.2,78.37,0.45,2700,0.625
0.0,160.0,40.0,2963.994,417.3275,18.5,78.37,0.45,2700,0.625
161.827,106.057,36.578,3065.1511,699.782,11.5,78.37,0.45,2700,0.625
237.0,26.0,84.0,2883.649,698.701,8.3,78.37,0.45,2700,0.625
182.643,146.355,16.066,2955.405,669.3557,11.0,78.37,0.45,2700,0.625
132.9641,133.2848,17.268,2915.506,630.4684,12.6,78.37,0.45,2700,0.625
